RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description                                      ,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,
C,10482180777Y,010070633061,WORTH,A W WHEADON LTD,,9/17/2007,,,THE YARD,SNOWHILL,CRAWLEY DOWN,CRAWLEY WEST SUSSEX,RH10 3EG,63000,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-13986,Y,-13986,4/1/2023,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01022E+11,010095667739,BURGESS HILL,A&E AUTOS LTD,,2/1/2024,,,THE GARAGE UNIT 1,1 JANES LANE,BURGESS HILL,WEST SUSSEX,RH15 0QJ,15500,CG1O,VEHICLE REPAIR WORKSHOP. OFFICE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-5934.5,N,0,,Y,-5934.5,2/1/2024,N,0,,,N,0,,N,0,,,,
C,1.02248E+11,1.00062E+11,HAYWARDS HEATH,A&J BARBERS LIMITED,,4/9/2015,,,3 SOUTH ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4LE,12000,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-5988,4/9/2015,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.02251E+11,010070639680,HAYWARDS HEATH,A.H BROADBRIDGES & SON LTD,,1/21/1999,SHOP 4 2/,,SHOP 4 2/,8 SUSSEX ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 4EA,25000,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-4990,Y,-4990,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01031E+11,10070624338,BURGESS HILL,A.N COROPRATION LIMITED,T/A ARCH BROW BAR,6/4/2018,34 MARKET PLACE,,34 MARKET PLACE,BURGESS HILL,WEST SUSSEX,,RH15 9NP,3350,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-1671.65,6/4/2018,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04003E+11,10070640091,SLAUGHAM,A.S.D.R.LTD,,5/3/2016,,,MID SUSSEX HOUSE,HIGH STREET,HANDCROSS,HAYWARDS HEATH WEST SUSSEX,RH17 6BW,18250,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-3642.7,Y,-3642.7,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
P,1.00805E+11,010070622342,BOLNEY,A1 CAR SEARCH LTD,,9/15/2014,,,UNIT 22,BOLNEY GRANGE BUSINESS PARK,BOLNEY HAYWARDS HEATH,WEST SUSSEX,RH17 5PB,25750,IF3,WORKSHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-5139.7,Y,-5139.7,4/1/2024,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04002E+11,010095669792,SLAUGHAM,ABI INTERIORS INTERNATIONAL LTD,,4/17/2025,,,4 FOREST PARK WAY,PEASE POTTAGE,CRAWLEY,WEST SUSSEX,RH11 9ZG,134000,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10182850001C,1.00062E+11,EAST GRINSTEAD,ABOUT ROOFING SUPPLIES LTD,,5/16/2007,UNIT,,UNIT,1C INDEPENDENT BUSINESS PARK,IMBERHORNE LANE,EAST GRINSTEAD WEST SUSSEX,RH19 1TU,31250,IF3,WORKSHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.044E+11,010070640153,TWINEHAM,,,12/6/1998,SITE OFFICE HILLMANS FARM,,SITE OFFICE HILLMANS FARM,BOLNEY CHAPEL ROAD. TWINEHAM.,HAYWARDS HEATH,WEST SUSSEX,RH17 5NN,1775,CO,OFFICE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-885.73,4/1/2010,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
