RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,Unnamed: 59,Latitude,Longitude
C,102621800110,10095671613.0,HURSTPIERPOINT,ADDED BYTES LIMITED,,2023-09-30,,,UNIT 11 BRIDGERS BUSINESS BARNS,LANGTON LANE,HURSTPIERPOINT,HASSOCKS WEST SUSSEX,BN6 9HA,7200,CW,Warehouse and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-3592.8,2023-10-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.928,-0.1645
C,102209600258,10090942318.0,HAYWARDS HEATH,ADELHI HOLDINGS LTD,,2025-12-31,,,SUITE 7 JYW HOUSE,25 BRIDGE ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1UA,2050,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,Y,2.8,2025-12-31,Y,2.8,2025-12-31,2026-04-01,RV,,51.0023,-0.1312
C,102209607180,100062617106.0,HAYWARDS HEATH,ADELPHI GROUP OF COMPANIES LTD,,2024-09-04,UNIT 2 AT 21-24,,UNIT 2 AT 21-24,BRIDGE ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1UA,47750,CWO,"Warehouse, Office and Premises",N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,102209609006,10090941525.0,HAYWARDS HEATH,ADELPHI HOLDING LIMITED,,2025-02-06,,,CAR PARKING COMPOUND,ADJACENT JYW HOUSE,BRIDGE ROAD,HAYWARDS HEATH WEST SUSSEX,RH16 1UA,9400,CP,Car Park and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,101608609998,10095671638.0,CUCKFIELD RURAL,ADELPHI HOLDINGS LIMITED,,2023-05-24,,,SOLAR PANELS UNIT A LOWER YARD,SPARKS LANE,CUCKFIELD,HAYWARDS HEATH WEST SUSSEX,RH17 5JP,109,FE,Photovoltaic Installation and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0312,-0.0945
C,102209600251,10090942311.0,HAYWARDS HEATH,ADELPHI HOLDINGS LTD,,2025-12-31,,,SUITE 1 JYW HOUSE,25 BRIDGE ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1UA,6300,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,102209607150,100062617108.0,HAYWARDS HEATH,ADELPHI HOLDINGS LTD,,2025-10-21,UNIT 3 AT 21-24,,UNIT 3 AT 21-24,BRIDGE ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1UA,29500,CWO,"Warehouse, Office and Premises",N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,102209600259,10090942319.0,HAYWARDS HEATH,ADELPHI HOLDINGS LTS,,2025-12-31,,,SUITE 8 JYW HOUSE,25 BRIDGE ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1UA,1575,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,Y,43.06,2025-12-31,Y,43.06,2025-12-31,2026-04-01,RV,,51.0023,-0.1312
C,102234407041,10095670125.0,HAYWARDS HEATH,ADELPHI MANUFACTURING COMPANY,LIMITED,2020-09-01,,,THE WORKSHOP FINCHS YARD,MILL GREEN ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1XQ,10750,IF3,Workshop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,102234407190,100062484669.0,HAYWARDS HEATH,ADELPHI TUBES LTD,,1999-04-01,OLYMPUS HOUSE,,OLYMPUS HOUSE,MILL GREEN ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 1XQ,267500,CWO,"Warehouse, Office and Premises",N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0023,-0.1312
C,10503960093Z,100062489710.0,ASHURST WOOD,ADITHYAA NEUROMUSCULOSKELETAL,REHABILITATION CENTRE LTD,2023-04-01,,,32 MAYPOLE ROAD,ASHURST WOOD,EAST GRINSTEAD,WEST SUSSEX,RH19 3QY,6200,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-3093.8,2023-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1189,-0.0234
C,10185720004Z,200002897988.0,EAST GRINSTEAD,ADVANCE LTD,,2000-07-01,THE BRADBURY HOUSE,,THE BRADBURY HOUSE,6 STATION ROAD,EAST GRINSTEAD,WEST SUSSEX,RH19 1DJ,22250,MH,Clinic and Premises,Y,0,80,0,-8882.2,2000-07-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1245,-0.0156
C,10183440203D,1009568284.0,EAST GRINSTEAD,ADVANCED ERGONOMIC TECHNOLOGIES,LIMITED,2017-04-01,,,GATWICK SUITE,THE CENTER 201-203 LONDON ROAD,EAST GRINSTEAD,WEST SUSSEX,RH19 1HA,5000,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1245,-0.0156
C,10183440203E,10095668285.0,EAST GRINSTEAD,ADVANCED ERGONOMIC TECHNOLOGIES,LIMITED,2017-04-01,,,BANKSIDE SUITE,THE CENTER 201-203 LONDON ROAD,EAST GRINSTEAD,WEST SUSSEX,RH19 1HA,8700,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,Y,0.0,2024-08-31,N,0.0,,,,,51.1245,-0.0156
C,10183440203B,10095668283.0,EAST GRINSTEAD,ADVANCED ERGONOMIC TECHNOLOGIES,LIMITED,2017-04-01,,,DUBLIN SUITE,THE CENTER 201-203 LONDON ROAD,EAST GRINSTEAD,WEST SUSSEX,RH19 1HA,1925,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1245,-0.0156
C,10183440203C,10062488710.0,EAST GRINSTEAD,ADVANCED ERGONOMIC TECHNOLOGIES,LTD,2017-04-01,,,THE CENTER 201-203 LONDON ROAD,EAST GRINSTEAD,WEST SUSSEX,,RH19 1HA,77000,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1245,-0.0156
C,10183440203F,10095668286.0,EAST GRINSTEAD,ADVANCED ERGONOMIC TECHNOLOGIES,LIMITED,2017-04-01,,,STANSTEAD SUITE,THE CENTER 201-203 LONDON ROAD,EAST GRINSTEAD,WEST SUSSEX,RH19 1HA,2425,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1245,-0.0156
C,102804600382,10014104123.0,HASSOCKS,ADVANCED RESTORATIVE CARE LTD,,2021-04-26,,,UNITS C TO E ADASTRA PLACE,38 KEYMER ROAD,HASSOCKS,WEST SUSSEX,BN6 8AJ,28750,CS,Shop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9187,-0.1572
C,104826808513,100061848513.0,WORTH,ADVANCED RIDING TECHNIQUES,LIMITED,2023-01-01,,,WOODLANDS,WALLAGE LANE,ROWFANT CRAWLEY,WEST SUSSEX,RH10 4NE,5700,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-2844.3,2023-01-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,10400280713Z,10090940787.0,SLAUGHAM,ADVISE US LTD,,2025-02-01,DEVONSHIRE HOUSE,,DEVONSHIRE HOUSE,HIGH STREET. HANDCROSS,HAYWARDS HEATH,WEST SUSSEX,RH17 6BJ,16000,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,Y,-849.57,N,0.0,,Y,-849.57,2025-02-01,N,0.0,,,N,0.0,,N,0.0,,,,,51.0456,-0.1234
C,10080510015Z,10070638783.0,BOLNEY,AEGIS RUBBER ENGINEERING LTD,,1995-04-01,,,UNITS 14 TO 16,BOLNEY GRANGE BUSINESS PARK,BOLNEY HAYWARDS HEATH,WEST SUSSEX,RH17 5PB,44000,IF3,Workshop and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0312,-0.0945
C,10460840764Z,10070640212.0,WEST HOATHLY,AEROSPACE SUPPORT ASSOCIATES LTD,,2023-10-14,,,UNIT 4 HANGDOWN MEAD BUSINESS PARK,SHARPTHORNE ROAD,SHARPTHORNE,EAST GRINSTEAD WEST SUSSEX,RH19 4HU,9200,CW3,Store and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,Y,-556.39,2025-04-01,2026-04-01,N,0.0,,N,0.0,,,,,51.1089,-0.0312
